user_id,matched_user_id,action,timestamp
U001,U097,0,2025-01-07 08:00:00
U001,U020,1,2025-01-29 22:00:00
U001,U100,0,2025-01-17 22:00:00
U001,U011,1,2025-01-30 12:00:00
U001,U009,0,2025-01-12 20:00:00
U001,U052,1,2025-01-14 20:00:00
U001,U070,1,2025-01-05 20:00:00
U002,U044,0,2025-01-30 06:00:00
U002,U066,1,2025-01-15 12:00:00
U002,U020,1,2025-01-21 21:00:00
U002,U012,1,2025-01-04 13:00:00
U002,U086,0,2025-01-16 02:00:00
U002,U019,1,2025-01-26 10:00:00
U003,U022,1,2025-01-13 12:00:00
U003,U034,0,2025-01-02 04:00:00
U003,U077,0,2025-01-17 01:00:00
U003,U059,1,2025-01-04 08:00:00
U003,U063,0,2025-01-15 03:00:00
U003,U009,0,2025-01-26 21:00:00
U003,U013,1,2025-01-05 18:00:00
U003,U028,1,2025-01-05 11:00:00
U004,U063,0,2025-01-25 15:00:00
U004,U027,1,2025-01-13 05:00:00
U004,U009,1,2025-01-12 00:00:00
U004,U040,0,2025-01-24 21:00:00
U004,U046,0,2025-01-10 14:00:00
U004,U070,0,2025-01-23 12:00:00
U004,U035,1,2025-01-11 09:00:00
U005,U095,1,2025-01-09 02:00:00
U005,U034,0,2025-01-16 03:00:00
U005,U065,1,2025-01-12 04:00:00
U005,U069,0,2025-01-25 09:00:00
U005,U063,1,2025-01-25 15:00:00
U005,U075,0,2025-01-03 23:00:00
U005,U018,1,2025-01-16 23:00:00
U005,U022,1,2025-01-15 06:00:00
U005,U086,1,2025-01-27 23:00:00
U005,U016,0,2025-01-18 08:00:00
U006,U040,1,2025-01-30 01:00:00
U006,U061,0,2025-01-12 11:00:00
U006,U041,1,2025-01-18 05:00:00
U006,U033,1,2025-01-05 14:00:00
U006,U014,0,2025-01-25 08:00:00
U006,U068,0,2025-01-03 06:00:00
U006,U054,0,2025-01-08 10:00:00
U006,U022,0,2025-01-27 21:00:00
U006,U081,1,2025-01-29 13:00:00
U007,U006,1,2025-01-04 16:00:00
U007,U073,1,2025-01-05 02:00:00
U007,U091,1,2025-01-22 20:00:00
U007,U053,1,2025-01-17 21:00:00
U007,U011,0,2025-01-15 21:00:00
U007,U025,0,2025-01-28 20:00:00
U008,U006,0,2025-01-28 20:00:00
U008,U082,0,2025-01-02 10:00:00
U008,U085,0,2025-01-20 15:00:00
U008,U048,0,2025-01-20 21:00:00
